,top_1_accuracy,top_5_accuracy
vit_small_patch16_224,0.81386,0.96132
vit_small_patch32_224,0.75994,0.93272
vit_base_patch16_224,0.85102,0.97526
vit_base_patch32_224,0.80722,0.95568
vit_large_patch16_224,0.85842,0.9782
vit_large_patch32_384,0.81508,0.96084
beit_base_patch16_224,0.85222,0.97652
beit_large_patch16_224,0.8748,0.98318
beitv2_base_patch16_224,0.86474,0.98044
beitv2_large_patch16_224,0.88384,0.986
beit3_base_patch16_224,0.8537,0.97638
beit3_large_patch16_224,0.87622,0.98332
resnet34,0.76422,0.92896
resnet50,0.80378,0.9459
resnet101,0.81946,0.95772
inception_v3,0.77464,0.93476
inception_v4,0.80142,0.94974
efficientnetv2_rw_s,0.82872,0.9633
efficientnetv2_rw_m,0.84302,0.96868
efficientnet_b2,0.79296,0.94572
efficientnet_b3,0.8148,0.95708
efficientnet_b4,0.82656,0.96142
ssl_resnet50,0.79236,0.9482
convnext_small,0.85166,0.97498
convnext_base,0.85812,0.9786
convnext_large,0.86606,0.98036
convnext_xlarge,0.86966,0.98202
convnextv2_base,0.86744,0.9802
convnextv2_large,0.87264,0.9824
