,top_1_accuracy,top_5_accuracy
resnet34,0.2584550345887779,0.41833205226748654
resnet50,0.3059185242121445,0.46771714066103
resnet101,0.34492697924673327,0.5113374327440431
inception_v3,0.31129900076863953,0.47598001537279017
inception_v4,0.3674096848578017,0.5340122982321291
efficientnetv2_rw_s,0.34761721752498076,0.5270945426594927
efficientnetv2_rw_m,0.4214066102997694,0.6091468101460416
efficientnet_b2,0.3047655649500384,0.47098385857033054
efficientnet_b3,0.36606456571867796,0.5378554957724827
efficientnet_b4,0.3858570330514988,0.5670637970791699
