,top_1_accuracy,top_5_accuracy
vit_small_patch16_224,0.2671022290545734,0.4423520368946964
vit_small_patch32_224,0.1569946195234435,0.30149884704073787
vit_base_patch16_224,0.3772098385857033,0.5899308224442736
vit_base_patch32_224,0.21022290545734051,0.361837048424289
vit_large_patch16_224,0.36587240584166025,0.5374711760184473
vit_large_patch32_384,0.2644119907763259,0.4356264411990776
beit_base_patch16_224,0.39181398923904687,0.5810914681014604
beit_large_patch16_224,0.4579169869331284,0.6529592621060722
beitv2_base_patch16_224,0.4509992313604919,0.6427747886241353
beitv2_large_patch16_224,0.5063412759415834,0.6898539584934665
beit3_base_patch16_224,0.3556879323597233,0.5712913143735588
beit3_large_patch16_224,0.4202536510376633,0.6581475787855495
